timestamp,symbol,direction,decision,score,total_ms,step_times
2026-06-29T09:18:47.780156+00:00,XAUUSD,LONG,ERROR,50,8129.2,{"step1_cb": 0.06532669067382812, "step2_scan": 0.2281665802001953, "step2b_regime": 0.13685226440429688, "step2c_ai": 2636.42954826355, "step3_mtf": 0.004291534423828125, "step4_session": 0.07891654968261719, "step5_news": 963.620662689209, "step6_correlation": 2.151966094970703, "step7_yield": 0.016689300537109375, "step8_sentiment": 996.8838691711426, "step9_pattern": 0.12826919555664062, "step10_divergence": 0.11301040649414062, "step11_risk": 0.03981590270996094, "step12_score": 0.13756752014160156, "step13_threshold": 1.1305809020996094}
2026-06-29T09:18:55.923789+00:00,XAUUSD,LONG,ERROR,100,3921.4,{"step1_cb": 0.021457672119140625, "step2_scan": 46.38981819152832, "step2b_regime": 10.407447814941406, "step2c_ai": 200.1481056213379, "step3_mtf": 0.002384185791015625, "step4_session": 0.04673004150390625, "step5_news": 0.028848648071289062, "step6_correlation": 4.575490951538086, "step7_yield": 0.0171661376953125, "step8_sentiment": 1967.8430557250977, "step9_pattern": 0.38552284240722656, "step10_divergence": 1.7397403717041016, "step11_risk": 0.057697296142578125, "step12_score": 0.1900196075439453, "step13_threshold": 0.020503997802734375}
2026-06-29T09:18:59.877348+00:00,EURUSD,LONG,ERROR,100,2891.9,{"step1_cb": 0.04291534423828125, "step2_scan": 5.226373672485352, "step2b_regime": 0.8399486541748047, "step2c_ai": 77.61263847351074, "step3_mtf": 0.0019073486328125, "step4_session": 0.030040740966796875, "step5_news": 0.021457672119140625, "step6_correlation": 1.499176025390625, "step7_yield": 0.011444091796875, "step8_sentiment": 983.527660369873, "step9_pattern": 0.240325927734375, "step10_divergence": 0.5049705505371094, "step11_risk": 0.011205673217773438, "step12_score": 0.04887580871582031, "step13_threshold": 4.782199859619141}
2026-06-29T09:19:02.832316+00:00,GBPUSD,LONG,ERROR,100,2529.2,{"step1_cb": 0.05555152893066406, "step2_scan": 20.952701568603516, "step2b_regime": 1.6198158264160156, "step2c_ai": 107.01966285705566, "step3_mtf": 0.00476837158203125, "step4_session": 0.09417533874511719, "step5_news": 0.06222724914550781, "step6_correlation": 4.1065216064453125, "step7_yield": 0.026226043701171875, "step8_sentiment": 881.6697597503662, "step9_pattern": 0.5440711975097656, "step10_divergence": 2.6924610137939453, "step11_risk": 0.040531158447265625, "step12_score": 0.9875297546386719, "step13_threshold": 2.8917789459228516}
2026-06-29T09:19:05.385316+00:00,SP500,LONG,ERROR,100,2792.0,{"step1_cb": 0.029325485229492188, "step2_scan": 7.581233978271484, "step2b_regime": 0.43463706970214844, "step2c_ai": 129.2870044708252, "step3_mtf": 0.0045299530029296875, "step4_session": 0.09012222290039062, "step5_news": 0.0591278076171875, "step6_correlation": 6.974220275878906, "step7_yield": 0.018596649169921875, "step8_sentiment": 1089.667558670044, "step9_pattern": 0.6418228149414062, "step10_divergence": 2.7472972869873047, "step11_risk": 0.030994415283203125, "step12_score": 0.11539459228515625, "step13_threshold": 1.67083740234375}
2026-06-29T09:20:12.358919+00:00,XAUUSD,LONG,ERROR,100,2744.7,{"step1_cb": 0.030279159545898438, "step2_scan": 24.392366409301758, "step2b_regime": 0.8549690246582031, "step2c_ai": 102.13804244995117, "step3_mtf": 0.004291534423828125, "step4_session": 0.08535385131835938, "step5_news": 0.05984306335449219, "step6_correlation": 6.557703018188477, "step7_yield": 0.020503997802734375, "step8_sentiment": 1110.600233078003, "step9_pattern": 1.0118484497070312, "step10_divergence": 1.870870590209961, "step11_risk": 0.0324249267578125, "step12_score": 0.1380443572998047, "step13_threshold": 0.0133514404296875}
2026-06-29T09:20:15.136995+00:00,EURUSD,LONG,ERROR,100,3577.3,{"step1_cb": 0.02956390380859375, "step2_scan": 9.249448776245117, "step2b_regime": 1.1606216430664062, "step2c_ai": 131.3178539276123, "step3_mtf": 0.0045299530029296875, "step4_session": 0.09751319885253906, "step5_news": 0.06556510925292969, "step6_correlation": 14.142036437988281, "step7_yield": 0.023365020751953125, "step8_sentiment": 2171.2493896484375, "step9_pattern": 0.2899169921875, "step10_divergence": 0.5769729614257812, "step11_risk": 0.011444091796875, "step12_score": 0.05030632019042969, "step13_threshold": 0.0054836273193359375}
2026-06-29T09:20:18.740166+00:00,GBPUSD,LONG,ERROR,100,2252.4,{"step1_cb": 0.03886222839355469, "step2_scan": 25.23493766784668, "step2b_regime": 0.8687973022460938, "step2c_ai": 101.17673873901367, "step3_mtf": 0.0040531158447265625, "step4_session": 0.06771087646484375, "step5_news": 0.04982948303222656, "step6_correlation": 7.665157318115234, "step7_yield": 0.038623809814453125, "step8_sentiment": 956.7346572875977, "step9_pattern": 0.4050731658935547, "step10_divergence": 1.5985965728759766, "step11_risk": 0.0286102294921875, "step12_score": 0.1201629638671875, "step13_threshold": 0.013113021850585938}
2026-06-29T09:20:21.026467+00:00,SP500,LONG,ERROR,100,2737.1,{"step1_cb": 0.015735626220703125, "step2_scan": 13.840913772583008, "step2b_regime": 0.8680820465087891, "step2c_ai": 122.64823913574219, "step3_mtf": 0.0045299530029296875, "step4_session": 0.06651878356933594, "step5_news": 0.05316734313964844, "step6_correlation": 12.625694274902344, "step7_yield": 0.030755996704101562, "step8_sentiment": 1022.6104259490967, "step9_pattern": 0.4074573516845703, "step10_divergence": 2.0246505737304688, "step11_risk": 0.027418136596679688, "step12_score": 0.2162456512451172, "step13_threshold": 0.012874603271484375}
2026-06-29T09:21:25.279396+00:00,XAUUSD,LONG,ERROR,100,2525.2,{"step1_cb": 0.014543533325195312, "step2_scan": 10.091543197631836, "step2b_regime": 0.49757957458496094, "step2c_ai": 86.58313751220703, "step3_mtf": 0.0045299530029296875, "step4_session": 0.08678436279296875, "step5_news": 0.06222724914550781, "step6_correlation": 4.970788955688477, "step7_yield": 0.009775161743164062, "step8_sentiment": 1015.1829719543457, "step9_pattern": 0.29754638671875, "step10_divergence": 1.9099712371826172, "step11_risk": 0.03790855407714844, "step12_score": 0.1804828643798828, "step13_threshold": 0.013589859008789062}
